artist,link,song,text
Aiza Seguerra,/a/aiza+seguerra/ikaw+ang+aking+mahal_20230793.html,Ikaw Ang Aking Mahal,"Itanong mo sa akin  
Kung sino'ng aking mahal  
Itanong mo sa akin  
Sagot ko'y di magtatagal  
Ikaw lang ang aking mahal  
Ang pag-ibig mo'y aking kailangan  
Pag-ibig na walang hangganan  
Ang aking tunay na nararamdaman  
Isa lang ang damdamin  
Ikaw and aking mahal  
Maniwala ka sana  
Sa akin ay walang iba  
Ikaw lang ang aking mahal  
Ang pag-ibig mo'y aking kailangan  
Pag-ibig na walang hangganan  
Ang aking tunay na nararamdaman  
Ang nais ko sana'y inyong malaman  
Sa hilaga o sa timog o kanluran  
At kahit sa'n pa man  
Ang laging isisigaw  
Ang nais ko sana'y inyong malaman  
Sa hilaga o sa timog o kanluran  
At kahit sa'n pa man  
Ang laging isisigaw  
Ikaw ang aking mahal...  
Ikaw ang aking mahal...  
Ikaw ang aking mahal...

"
Alabama,/a/alabama/country+side+of+life_20522155.html,Country Side Of Life,"You can have your buildings and your arithmetic  
I don't need no crowded streets or city slicker tricks  
I just need to be some place where I can move around  
Look down at my toes and I can still see the ground  
Give me that country side of life  
Where I can stretch out right  
Give me the country side  
(Give me the country side)  
Give me that country side of life  
Where I don't get uptight  
Give me the country side  
Goin' down to the fishing pond where I can throw the line  
It don't' matter what fish I catch I only came to rest my mind  
The only fish you'll get down town ain't caught with a hook and sinker  
Put on your brakes, beep beep, honk your horn look out now turn on your
blinker  
Give me that country side of life  
Where I can stretch out right  
Give me the country side  
(Give me the country side)  
Give me that country side of life  
Where I don't get uptight  
Give me the country side  
Give me that country side of life  
Where I don't get uptight  
Give me the country side  
I was born in Georgia town with a lack-a-daisy street  
A laid back lover just a-playin' games and a-stayin' off of them feet  
Nobody trying to get on your nerves, nobody tryin' to get what you've got  
And just live and let live by the golden rule now don't it just hit the spot  
Give me that country side of life  
Where I can stretch out right  
Give me the country side  
(Give me the country side)  
Give me that country side of life  
Where I don't get uptight  
Give me the country side  
Give me that country side of life  
Where I can stretch out right  
Give me the country side  
Give me that country side of life  
Where I don't get uptight  
Give me the country side

"
Alabama,/a/alabama/food+on+the+table_20522154.html,Food On The Table,"My dad was a big man with a will that was tough  
He was at his best when the going was rough  
He made a living for the family and never had to cheat  
To keep food on the table and shoes on our feet  
  
We sat down at the table and thanked god in prayer  
Cause we had plenty to eat and plenty to wear  
We had patches on our britches but momma kept us neat  
We had food on the table and shoes on our feet  
  
We picked the cotton and gathered the corn  
We were taught to work from the day we were born  
Mom and dad and all us children worked in the summer's heat  
To keep food on the table and shoes on our feet  
  
When you sit down at the table thank god in prayer  
If you've got plenty to eat and plenty to wear  
If you've got patches on your britches just be sure to keep em neat  
If you've got food on the table and shoes on your feet

"
Alan Parsons Project,/a/alan+parsons+project/the+turn+of+a+friendly+card+part+1_20928257.html,The Turn Of A Friendly Card (Part 1),"There are unsmiling faces and bright plastic chainsAnd a wheel in perpetual
motionAnd they follow the races and pay out the gainsWith no show of an
outward emotion  
And they think it will make their lives easierFor God knows up till now it's
been hardBut the game never ends when your whole world dependsOn the turn of a
friendly cardNo the game never ends when your whole world dependsOn the turn
of a friendly card  
There's a sign in the desert that lies to the westWhere you can't tell the
night from the sunriseAnd not all's the king's horse and all the king's
menHave prevented the fall of the unwise  
For they think it will make their lives easierAnd God knows up till now it's
been hardBut the game never ends when your whole world dependsOn the turn of a
friendly cardNo the game never ends when your whole world dependsOn the turn
of a friendly card  
But a pilgrim must follow in search of a shrineAs he enters inside the
cathedral...

"
Alice Cooper,/a/alice+cooper/between+high+school+old+school_20163370.html,Between High School And The Old School,"Hey Hey  
Hey Hey  
I guess I'm a loner and I don't fit in (No...)  
I ain't too comfortable in my skin (oh...)  
An' I don't play well with the others  
  
I'm stuck somewhere between high school and old school  
I can't decide between my rules and your rules  
  
Hey Hey  
Hey Hey  
Nobody wants me hanging round  
Unless it's from a tree in the middle of town  
And I'm out of step with the others  
  
I'm stuck somewhere between high school and old school  
I can't decide between my rules and your rules  
I'm stuck somewhere between high school and old school  
So I defy maybe all rules maybe no rules  
  
My clothes don't make me  
My hair ain't cut right  
And I don't care much  
No I don't care at all  
  
I guess my brain is out of synch, I think  
  
  
I'm stuck somewhere between high school and old school  
I can't decide between my rules and your rules  
I'm stuck somewhere between high school and old school  
I can't decide, I just can't decide  
  
Hey hey hey  
Hey hey hey  
Hey hey hey  
Aw...

"
Alison Krauss,/a/alison+krauss/jesus+help+me+to+stand_20006110.html,Jesus Help Me To Stand,"Through trials, troubles and care  
I know Jesus my savior is there  
Giving me faith through darkest days  
Keeping me on the narrow way  
Jesus savior, help me each day  
Fill me with hope, fill me with faith  
Darkness retreats at the touch of Your hand  
Jesus savior, help me to stand  
Jesus lived through darkest pain  
Rejected by men, despising the shame  
Man of sorrows, acquainted with grief  
He gave His life so we may be free  
Jesus savior, help me each day  
Fill me with hope, fill me with faith  
Darkness retreats at the touch of Your hand  
Jesus savior, help me to stand  
I know that Jesus died for me  
Canceled my debt at Calvary  
Rose from the dead, unlocked Heaven's door  
Trust in His love and live evermore  
Jesus savior, help me each day  
Fill me with hope, fill me with faith  
Darkness retreats at the touch of Your hand  
Jesus savior, help me to stand  

"
Alphaville,/a/alphaville/the+other+side+of+you_20705476.html,The Other Side Of You,"(Gold-Lloyd-Echolette)  
  
This is a national anthem  
From the flip-side of the empire  
Hand on my heart  
Heart on the sleeve of the constitution  
Sinking right into a mirror  
Leaving reflections on its surface  
Caught in a kind of radio-beacon  
That's sending out signals  
Transmitting them backwards  
Hey, tell me it's true  
Is this the other side of you  
Worlds gonna change  
With a move in your face,  
Do I still walk on the same structure?  
Hey, what do we know  
Re(a)leasing arrows over cosmic meadows?  
Nothing is real  
Even iron or steel  
Melting gently in the cold structure  
Watching your face thru' a peephole  
As I lean against the door  
Can't understand what you say  
But I think that you're calling my name  
Leaving the ones I loved is like  
Leaving the one they want me to be  
Making decisions  
In real-time-precision  
As millions of sailors  
In parallelworlds  
Hey, tell me it's true,  
Is this the other side of you  
Worlds gonna change  
With a move in your face  
Do I still walk on the samestructure?  
Hey, what do we know,  
Re(a)leasing arrows over cosmic meadows?  
Nothing is real  
Even iron or steel  
Melting gently in the cold structure  
Everybody walks this side of the run-way  
Everybody hopes to get off the trap  
All we really like is to groove with emotion  
Waiting for the airline to lift us up...

"
America,/a/america/cant+you+see_20007156.html,Can't You See,"Written by dan peek, (C)1976  
Found on hideaway and highway.  
  
Alone, sitting here on my own  
There's no place I'd rather be  
Or so it seems  
  
Home, miles away from home  
And there's no place I'd rather be  
Can't you see?  
  
You hold your life in your hands  
And no one takes from a man  
Who gives the best that he can  
To make someone understand  
  
I've flown miles away from home  
And there's no place I'd rather be  
Can't you see?  
  
You hold your life in your hands  
And no one takes from a man  
Who gives the best that he can  
To make someone understand  
  
Home, miles away from home  
And there's no place I'd rather be  
Can't you see, can't you see, can't you see?  
Can't you see, can't you see, can't you see?  
Can't you see, can't you see, can't you see?

"
America,/a/america/saturn+nights_20007198.html,Saturn Nights,"One more song about movin' along the highway  
Feel the fantasy in the air  
  
(Ah -- --)  
  
Filled the room with flowers from Norway  
Sensed her majesty in the air  
Made a sign 'bove your doorway, to show I care  
  
I've been waiting every morning  
Just to help you find your way  
I've been standing on your corner  
(Don't go away) Don't go away  
  
One more song about movin' along the highway  
Feel the fantasy in the air  
  
I've been waiting every morning  
Just to help you find your way  
I've been waiting every morning  
Help me make it through the day  
  
I've been waiting every morning  
Just to help you find your way  
I've been waiting every morning  
Help me make it through the day  
  
I've been waiting every morning ...

"
Amy Grant,/a/amy+grant/father_20007619.html,Father,"Father, blessed Father it's morning again  
I give You Father, myself Father continue Your plan  
I know together we can climb mountains in the sky  
No one can stop us when I'm standing by Your side  
When trouble's knocking here again  
I'll tell him Jesus has me by his hand He'll walk me through  
Father, loving Father create in me  
A pure love, Father, Your love, Father instill it in me  
I remember the nights I've cried for You  
Now I only have to die for You  
Thank You, Lord, You've made it clear just for me  
I see the light it's burning out the night, oh, Father it's morning  
Morning, morning, morning, morning  
Morning, morning, morning, morning  
Morning, morning, morning, morning  
Morning, morning, morning, morning, morning  

"
Andrea Bocelli,/a/andrea+bocelli/sogno_20007813.html,Sogno,"SOGNO  
  
Va ti aspettero'  
II fiore nel giardino segna il tempo  
Qui disegnero' il giomo poi del tuo ritorno  
Sei cosi sicura del mio amore  
Da portarlo via con te  
Chiuso nelle mani che ti porti al viso  
Ripensando ancora a me  
E se ti servira' lo mostri al mondo  
Che non sa che vita see'e'  
Nel cuore che distratto sembra assente  
Non sa che vita see'e'  
In quello che soltanto il cuore sente  
Non sa  
  
Qui ti aspettero'  
E rubero' i baci al tempo  
Tempo che non basta a cancellare  
Coi ricordi il desiderio che  
Resta chiuso nelle mani che ti porti al viso  
Ripensando a me  
E ti accompagnera' passando le citta' da me  
Da me che sono ancora qui  
E sogno cose che non so di te  
Dove sara' che strada fara' il tuo ritorno  
Sogno  
  
Qui ti aspettero'  
E rubero' i baci al tempo  
Sogno  
Un rumore il vento che mi sveglia  
E sei gia' qua

"
Arlo Guthrie,/a/arlo+guthrie/coming+into+los+angeles_20518616.html,Coming Into Los Angeles,"Coming in from London from over the pole  
Flyin' in a big jet liner  
Chicks are flyin' everywhere around the plane  
Could we ever feel much finer?  
  
Comin' into Los Angeles  
Bringin' in a couple of keys  
Don't touch my bags if you please mister customs man  
  
There's a guy with a ticket to Mexico  
No, he couldn't look much stranger  
Walkin' in the hall with his things and all  
Smilin, said he was the lone ranger  
  
Comin' into Los Angeles  
Bringin' in a couple of keys  
Don't touch my bags if you please mister customs man  
  
Hip woman walkin' on the movin' floor  
Trippin' on the escalator  
There's a man in the line and she's blowin' his mind  
Thinkin' that he's already made her  
  
Comin' into Los Angeles  
Bringin' in a couple of keys  
Don't touch my bags if you please mister customs man  
  
Comin' in from London from over the poll  
Flyin' in a big airliner  
Chicks are flyin' everywhere around the plane  
Could we ever feel much finer?  
  
Comin' into Los Angeles  
Bringin' in a couple of keys  
Don't touch my bags if you please mister customs man  
  
Yeah, alright!

"
Arlo Guthrie,/a/arlo+guthrie/dead+or+alive_20180910.html,Dead Or Alive,"Well, the new sheriff wrote me a letter  
Yes, the new sheriff wrote me a letter  
Come up and see me, dead or alive  
Come up and see me, dead or alive  
  
Dead or alive, if s a hard road  
It's a hard road, dead or alive  
  
Well, he even sent me my picture  
Yes, he even sent me my picture  
How do I look, boys, dead or alive?  
How do I look, boys, dead or alive?  
  
Dead or alive, if s a hard road  
It's a hard road, dead or alive  
  
Well, he said he would pay expenses  
Yes, he said he would pay expenses  
Dead or alive, no thanks!  
New sheriff, I'm a poor boy  
  
If s a hard road, dead or alive  
Dead or alive, if s a hard road  
  
Well, he said he would feed and do the me  
Yes, he said he would feed and do the me  
Dead or alive, no thanks!  
New sheriff, I'm a poor boy  
  
If s a hard road, dead or alive  
Dead or alive, if s a hard road  
  
Well, I'm sorry but I can't come, sheriff  
Yes, I'm sorry but I can't come, sheriff  
Dead or alive, no thanks!  
New sheriff, I'm a poor boy  
  
If s a hard road, dead or alive  
Dead or alive, if s a hard road  
  
I don't like your hard rock hotel  
I don't like your hard rock hotel  
Dead or alive, new sheriff  
No thanks, I'm a poor boy  
  
If s a hard road, dead or alive  
Dead or alive, if s a hard road  
  
I gotta go down and see my little sweet thing f  
Gonna go down and see my little sweet thing  
Dead or alive, yes, Lord!  
No thanks, new sheriff  
  
If s a hard road, dead or alive  
Dead or alive, if s a hard road

"
Arlo Guthrie,/a/arlo+guthrie/jacobs+ladder_20518606.html,Jacob's Ladder,"We are climbing Jacob's ladder  
We are climbing Jacob's ladder  
We are climbing Jacob's ladder  
Brothers, sisters, all  
  
Every rung goes higher and higher  
Every rung goes higher and higher  
Every rung goes higher and higher  
Brothers, sisters, all  
  
We are dancing Sarah's circle  
We are dancing Sarah's circle  
We are dancing Sarah's circle  
Sisters, brothers, all  
  
Every round a generation  
Every round a generation  
Every round a generation  
Sisters, brothers, all  
  
We are climbing Jacob's ladder  
We are climbing Jacob's ladder  
We are climbing Jacob's ladder  
Brothers, sisters, all

"
Arrogant Worms,/a/arrogant+worms/jesus+brother+bob_20009374.html,Jesus' Brother Bob,"If you haven't heard of me  
I wouldn't be surprised  
I bet you know my relatives  
Their names will never die  
My mother is a saint  
And my brother is a god  
But all I am is Jesus' brother Bob  
  
Jesus' brother Bob, Jesus' brother Bob  
A nobody relative of the son of God  
If only I'd been born just a little sooner  
I'd be more than the brother of God Junior  
  
I have to pay the ferry  
To cross the Galilee  
But not my brother  
No not him  
He walks across for free  
I finally get to work  
'Bout a quarter after nine  
Already he's turning water into wine  
  
Jesus' brother Bob, Jesus' brother Bob  
A nobody relative of the son of God  
If only I'd been born just a little sooner  
I'd be more than the brother of God Junior  
  
One day when I was home  
I heard a mighty r oar  
There were a thousand people  
Right outside the door  
Help us, Jesus, help us!  
Came the cheering from the mob  
But then they got a look at me  
Oh nuts, it's only Bob  
  
Jesus' brother Bob, Jesus' brother Bob  
A nobody relative of the son of God  
If only I'd been born just a little sooner  
I'd be more than the brother of God Junior  
  
He died upon the cross  
I thought that I was free  
Finally people would get to know  
Me for me  
(Hi Bob, Hi Judas!)  
This was my big chance  
To finally get ahead  
The next thing you know  
He's rising from the dead  
  
Jesus' brother Bob, Jesus' brother Bob  
A nobody relative of the son of God  
If only I'd been born just a little sooner  
I'd be more than the brother of God Junior  
  
Everybody!  
  
Jesus' brother Bob, Jesus' brother Bob  
A nobody relative of the son of God  
If only I'd been born just a little sooner  
I'd be more than the brother of God Junior  
  
ahhhahhhhahhh-Bob

"
Arrogant Worms,/a/arrogant+worms/proud+t+o+be+a+banker_20009326.html,Proud T O Be A Banker,"I'm proud to be a banker  
I'm proud to be a banker  
I'm proud to be a banker  
'Cause I get to play with other people's money  
  
I'm having a lousy day  
I burned my toast and spilled my coffee  
On my best shirt. So I had to change and then  
I'm late for work. So I rush into the meeting  
Where they are discussing what my future in the corporation is  
And I don't really give a damn  
But I don't have another job  
And so I lie and say  
  
I'm proud to be a banker  
I'm proud to be a banker  
I'm proud to be a banker  
'Cause I get to talk to stimulating people  
  
I open up my mail  
Hoping that it's not a bill but it's from the bank  
Saying that I have only 20 hours to go  
To contribute to my RRSP for this tax year  
So I run down to the bank but there's a 20-mile lineup  
And I'm yelling and I'm screaming  
And I'm not wearing any pants ah ah ah ah ahhhhh  
  
I'm proud to be a banker  
I'm proud to be a banker  
I'm proud to be a banker  
'Cause I get to screw with other people's lives  
  
I took out 40 bucks  
From the automatic teller. It told me  
That I couldn't 'cause I just had 10  
But that can't be 'cause I just got paid on Friday  
So I go down to the bank, wait an hour in the lineup  
And I'm talking to the teller  
She says ""Wait I'll get your last month's statement""  
She comes back in 7 hours  
Says I've got some interest charges and a cheque from Uncle Bill  
That bounced and so they'll have to charge me 40 bucks for that  
And for the box I never opened and I don't have overdraft protection  
And I think I'll die before I pay off all that I owe and I don't even  
Own a car  
  
I'm pleased to be a banker  
I'm proud to be a banker  
I'm pleased to be a banker  
'Cause I get to play with other people's money  
  
(HE'S A BANKER)  
Would you please endorse this cheque?  
(HE'S A BANKER)  
Do you have any assets?  
(HE'S A BANKER)  
You should buy you shouldn't rent  
(HE'S A BANKER)  
The cheque will cost you fifty cents  
(IT WILL COST YOU FIFTY CENTS)  
(He's a banker and he says  
That it will cost you fifty cents  
He's a banker and he says  
That it will cost you fifty cents)  
(IT WILL COST YOU FIFTY CENTS)

"
Avril Lavigne,/a/avril+lavigne/naked_20010242.html,Naked,"I wake up in the morning  
Put on my face  
The one that's gonna get me  
Through another day  
Doesn't really matter  
How I feel inside  
'Cause life is like a game sometimes  
  
But then you came around me  
The walls just disappeared  
Nothing to surround me  
And keep me from my fears  
I'm unprotected  
See how I've opened up  
Oh, you've made me trust  
  
Because I've never felt like this before  
I'm naked  
Around you  
Does it show?  
You see right through me  
And I can't hide  
I'm naked  
Around you  
And it feels so right  
  
I'm trying to remember  
Why I was afraid  
To be myself and let the  
Covers fall away  
I guess I never had someone like you  
To help me, to help me fit  
In my skin  
  
I never felt like this before  
I'm naked  
Around you  
Does it show?  
You see right through me  
And I can't hide  
I'm naked  
Around you  
And it feels so right  
  
I'm naked  
Oh oh yeah  
Does it show?  
Yeah, I'm naked  
Oh oh, yeah yeah  
  
I'm so naked around you  
And I can't hide  
You're gonna see right through, baby

"
Avril Lavigne,/a/avril+lavigne/trust+me_20596409.html,Trust Me,"Be Around Trust my Being.  
Feel the pressure.  
I am alive  
Move around  
And take it real so trust me  
  
Chorus: Trust Me, Life Gets Hard Be Inside Live Your Life Feel The World Do
your dance trust Me or trust again Live forever count your steps do it along
push me out of the way.  
  
I am a human, just like you be with me and pull the pole. Live in our world
beneath our cares  
  
Chorus: Trust Me, Life Gets Hard Be Inside Live Your Life Feel The World Do
your dance trust Me or trust again Live forever count your steps do it along
push me out of the way.  
  
Feel it now.  
Live it now  
Feel it now  
Live it now  
Forever, forever  
Oh so  
  
Chorus: Trust Me, Life Gets Hard Be Inside Live Your Life Feel The World Do
your dance trust Me or trust again Live forever count your steps do it along
push me out of the way.  
  
Chorus: Trust Me, Life Gets Hard Be Inside Live Your Life Feel The World Do
your dance trust Me or trust again Live forever count your steps do it along
push me out of the way.  
  
I am alive  
And take it real so trust me

"
