artist,link,song,text
Cliff Richard,/c/cliff+richard/doing+fine_20032106.html,Doing Fine,"Don't feel bad,don't feel good,  
Feel alright ''cause I'm doing as I should,  
Don't look back,no I don't have the time,  
I guess I'm doing fine.  
  
Got no bags to slow me down,  
Travelling light but my feet are on the ground,  
Got no message,I ain't got a dime,  
I guess I'm doing fine.  
  
Don't need no paper telling me bad news,  
No politician giving their views,  
Don't need no doctor to tell me I'm well,  
I feel like heaven and I've been through hell.  
  
Talking straight I don't feel confused,  
Don't want nothing,I've got nothing more to lose,  
Don't need no credit,don't show me where to sign,  
I guess I'm doing fine.  
I guess I'm doing fine.  
I guess I'm doing fine.  
  
Don't come looking for me,  
'Cause I'm doing fine,  
No missing persons,  
''cause I'm doing fine,  
Don't go home,  
'cause I'm doing fine.

"
Coldplay,/c/coldplay/travis+why+does+it+always+rain+on+me_20815761.html,Travis - Why Does It Always Rain On Me?,"I can't sleep tonight  
Everybody saying, ""Everything's alright""  
Still I can't close my eyes  
I'm seeing a tunnel at the end of all these lights  
  
Sunny days, where have you gone?  
I get the strangest feeling, you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
  
Why does it always rain on me?  
Even when the sun is shining  
I can't avoid the lightning  
  
I can't stand myself  
I'm being held up by an invisible man  
Still life on a shelf when  
I got my mind on something else  
  
Sunny days, where have you gone?  
I get the strangest feeling you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
  
Why does it always rain on me?  
Even when the sun is shining  
I can't avoid the lightning  
  
Oh, where did the blue skies go?  
And why is it raining so? It's so cold  
  
I can't sleep tonight  
Everybody's saying, ""Everything's alright""  
Still I can't close my eyes  
I'm seeing a tunnel at the end of the lights  
  
Sunny days, where have you gone?  
I get the strangest feeling you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
  
Even when the sun is shining  
I can't avoid the lightning  
  
Oh, where did the blue skies go?  
And why is it raining so?  
It's so cold  
  
Why does it always rain on me?  
Why does it always rain on?

"
Coldplay,/c/coldplay/why+does+it+always+rain+on+me_20512659.html,Why Does It Always Rain On Me,"I can't sleep tonight  
Everybody saying everything's alright  
Still I can't close my eyes  
I'm seeing a tunnel at the end of all these lights  
  
Sunny days  
Where have you gone?  
I get the strangest feeling you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
Why does it always rain on me?  
Even when the sun is shining  
I can't avoid the lightning  
  
I can't stand myself  
I'm being held up by an invisible man  
Still life on a shelf when  
I got my mind on something else  
  
Sunny days  
Where have you gone?  
I get the strangest feeling you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
Why does it always rain on me?  
Even when the sun is shining  
I can't avoid the lightning  
  
Oh, where did the blue skies go?  
And why is it raining so?  
It's so cold  
I can't sleep tonight  
Everybody's saying everything's all right  
Still I can't close my eyes  
I'm seeing a tunnel at the end of all these lights  
  
Sunny days  
Where have you gone?  
I get the strangest feeling you belong  
Why does it always rain on me?  
Is it because I lied when I was seventeen?  
Even when the sun is shining  
I can't avoid the lightning  
Oh, where did the blue skies go?  
And why is it raining so?  
It's so cold  
Why does it always rain on me?  
Why does it always rain on....

"
Conway Twitty,/c/conway+twitty/goin+home_20206724.html,Goin' Home,"(I'm going home)  
Yes, I'm going home, (going home)  
Back to where I belong (I'm going home)  
Yes, I'm going home, (going home)  
Been away too long (I'm going home)  
Since I've been eveywhere (going home)  
Uh Ugh my friends are there (I'm going home)  
I'm going back to stay, (going home)  
I'll soon be on my way (I'm going home)  
And this you can believe  
That I'll never ever leave. (I'm going home)  
  
Yes, I'm going home, (going home)  
Never more to roam (I'm going home)  
Yes, I'm going home, (going home)  
Back where I belong (I'm going home)  
Yes, I'm going home, (going home)  
Never more to roam (I'm going home)  
My friends all hope and pray, (going home)  
That I come back someday (I'm going home)  
And if I find my way, (going home)  
It's there I'm gonna stay (I'm going home)  
No matter where you are,  
They'll never be to me  
A place like home. (I'm going home)  
  
Yes, I'm going home, (going home)  
Never more to roam (do wah wah)  
And if you don't believe, (do wah wah)  
That I, I'm gonna leave (do wah wah)  
Just stand there (do wah wah)  
Watch me walk away (do wah wah)  
Tell, everyone you know (do wah wah)  
I just had to go (do wah wah)  
Tell 'em I (I), I (I), (I, I, I)  
I'm going home. (I'm going home)  
  
Yes, I'm going home (going home)  
Never more to roam (I'm going home)  
Yes, I'm going home, (going home)  
Back where I belong (I'm going home)  
My friends all hope and pray, (going home)  
That I come back someday (I'm going home)  
If I find my way, (going home)  
It's there I'm gonna stay (I'm going home)  
This you can believe  
I'll never ever leave. (I'm going home)  
  
Yes, I'm going home, (going home)  
Back where to I belong (I'm going home)  
Yes, I'm going home, (going home)  
I've been away too long. (I'm going home)...

"
Conway Twitty,/c/conway+twitty/i+can+hear+my+heart+break_20870534.html,I Can Hear My Heart Break,"I'm surrounded by silence tormented by dreams  
Tortured by sweet words that you didn't mean  
It's the stillness it's the silence that I can hardly take  
For I can hear I can hear my heart break.  
  
Now these arms are mighty lonesome guess they're missing you  
And I have to admit it honey I miss you too  
I sit here in the silence half asleep half awake  
And I can hear I can hear my heart break.  
  
Empty days without number lonely nights I can't bear  
That old world's gone right on by me who's to know who's to care  
I keep listening for your footsteps little sound you used to make  
And I can hear I can hear my heart break.  
  
My heart break...

"
Dean Martin,/d/dean+martin/i+never+had+a+chance_20286952.html,I Never Had A Chance,"I never had a chance  
I thought you cared for me  
But now I see I never had a chance  
I never had a chance  
Though you never told me so somehow I know  
I never had a chance  
I knew we would have to part  
For I could always reach your lips  
But I could never reach your heart  
My dreams about romance  
Ended in a friendly chat but more than that  
I never had a chance  
My dreams about romance  
Ended in a friendly chat but more than that  
I never had a chance

"
Deep Purple,/d/deep+purple/hard+lovin+man_20038700.html,Hard Lovin' Man,"Break my back with hard lovin'  
Take my hand and keep movin'  
Don't slow down we're nearly there now  
Oh can you stand the pain  
I'm a hard lovin' man  
  
What's your name? It's alright now  
Trick or treat we're uptight now  
Wanna feel ya I wanna hear ya  
Oh here we go again  
I'm a hard lovin' man  
  
Come back here it's not over  
Can't you see there's still time girl  
I can last make if fast now  
Oh gotta catch a train  
I'm a hard lovin' man

"
Devo,/d/devo/when+we+do+it_20039759.html,When We Do It,"When we do it  
(the great big it)  
I hope it's we and not just me  
When we do it  
Something happens  
And it's bigger than the both of us  
And for a second  
There's no trouble  
And the world outside goes away  
The clock on the wall  
Between us stops  
Then the world outside blows away  
You make me lose my body  
And nothing could be better  
You make me lose my body  
It's like we've died and gone to heaven  
You make me lose my body  
When we do it  
(the universal it)  
I know it's we and not just me  
When we do it

"
Divine,/d/divine/shout+it+out_20221348.html,Shout It Out,"Shout it out, if your partner is your best friend  
Shout it out, shake your buddy's hand  
Shout it out, if you really love the DJ  
Shout it out, everybody take a stand.  
  
[Chorus:]  
You gotta shout shout shout shout, shout it out  
You gotta shout shout shout shout, shout it out  
You gotta shout shout shout shout, shout it out  
You gotta shout shout shout shout, shout it out  
  
Shout it out, if there's beauty in the beat  
Shout it out, if the rhythm is a treat  
Shout it out, if romance is in your heart  
Shout it out, everybody start.  
  
[Chorus]  
  
Shout it out, if your partner is your best friend  
Shout it out, shake your buddy's hand  
Shout it out, if you really love the DJ  
Shout it out, everybody take a stand.  
  
[Chorus]

"
Ellie Goulding,/e/ellie+goulding/little+dreams_20896391.html,Little Dreams,"If a plane crashed into my room  
I wouldn't even flinch  
I couldn't try to move  
My mind is on you  
My mind is on you  
  
If the streetlight smashed above me  
I wouldn't move an inch  
Turn the glass into stars  
And your face is the moon  
And the night turns to you  
Cos my mind is on you  
  
You've got me caught in a place  
Panic for a minute  
Got my brain in a daze  
I wish you weren't in it  
There are so many ways  
To lose your attention  
You can break everything  
But so I can take anything  
  
I can take anything  
I can take anything  
  
If electric charges shock me  
I smile and fold my arms  
I feel nothing new  
Because my mind is on you  
  
My mind is on you  
  
And if the floor gives way to my shoes  
I wouldn't try to fly  
I cant explain why I feel  
I always feel you  
  
I always feel, always feel you  
  
You've got my caught in a place  
Panic for a minute  
Got my brain in a daze  
I wish you weren't in it  
There are so many ways  
To lose your attention  
You can break everything  
But so I can take anything  
  
Your the heat in my bones  
But you break me with stones  
  
You're the heat in my bones  
But you break me with your stones  
  
If a plane crashed into my room  
I wouldn't even flinch  
I couldnt try to move  
My mind is always on you  
My mind is always on you  
  
Caught in a place  
Panic for a minute  
Got my brain in a daze  
I wish you weren't in it  
There are so many ways  
To lose your attention  
You can break everything  
But so  
  
Even when I'm caught in a place  
Panic for a minute  
Got my brain in a daze  
I wish you weren't in it  
There are so many ways  
To lose your attention  
You can break everything  
But so I can take anything

"
Engelbert Humperdinck,/e/engelbert+humperdinck/a+chance+to+be+a+hero_20826436.html,A Chance To Be A Hero,"When I was young at heart, I never had much money  
But I never let faith depart, I kept it right beside me  
When I was only seventeen, I knew just what I wanted to be  
On the stage, on the front page with the spotlight shining  
The spotlight shining on me  
Take a chance to be a hero, a chance to play in this game  
A chance to be somebody who you're gonna recognize my name  
A chance to be a hero, a shot at the big time  
A chance to be somebody new, a chance to be a hero  
Funny, how time can fly right through you fingers  
When the parade passes by, you know it's too late then  
When your lifelong fantasy floats underneath the door  
Down the stairs, out on the street, it won't be coming back  
It won't be coming back anymore  
Take a chance to be a hero, a chance to play in this game  
A chance to be somebody who you're gonna recognize my name  
A chance to be a hero, a shot at the big time  
A chance to be somebody new, a chance to be a hero  
When your lifelong fantasy floats underneath the door  
Down the stairs, out on the street, it won't be coming back  
It won't be coming back anymore  
Take a chance to be a hero, a chance to play in this game  
A chance to be somebody who you're gonna recognize my name  
A chance to be a hero, a shot at the big time  
A chance to be somebody new, I only wanna be  
Only wanna be, I wanna be a hero  

"
Engelbert Humperdinck,/e/engelbert+humperdinck/when+you+say+nothing+at+all_20504130.html,When You Say Nothing At All,"It's amazing how you can speak right to my heart.  
Without saying a word you can light up the dark.  
Try as I may I could never explain what I hear when you don't say a thing.  
  
The smile on your face lets me know that you need me.  
There's a truth in your eyes saying you'll never leave me.  
A touch of your hand says you'll catch me if ever I fall.  
Now you say it best when you say nothing at all.  
  
All day long I can hear people talking out loud,  
but when you hold me near you drown out the crowd.  
Old Mister Webster could never define  
what's being said between your heart and mine.  
  
The smile on your face lets me know that you need me.  
There's a truth in your eyes saying you'll never leave me.  
A touch of your hand says you'll catch me if ever I fall.  
Now you say it best when you say nothing at all.  
  
The smile on your face lets me know that you need me.  
There's a truth in your eyes saying you'll never leave me.  
A touch of your hand says you'll catch me if ever I fall.  
Now you say it best when you say nothing at all.

"
Enrique Iglesias,/e/enrique+iglesias/mouth+2+mouth_20983081.html,Mouth 2 Mouth,"We live...  
We love...  
We die...  
  
[Enrique Iglesias]  
She called me up late at night  
We called an innocent crime  
She's such a good waste of time  
But in the back of my mind  
You know you're all I'm thinking of  
You know you're all I'm thinking of  
  
[Chorus:]  
I can't catch a single breath baby,  
Help me now, help me now  
Hurry up it's killing me the way I need your mouth to mouth, mouth to mouth  
I can't catch a single breath baby,  
Help me now, help me now  
Hurry up it's killing me the way I need your mouth to mouth, mouth to mouth  
  
[Jennifer Lopez]  
Kills me to let it inside  
Feels like the wrong kind of guy  
He falls asleep by my side  
But in the back of my mind  
You know you're all I'm thinking of  
You know you're all I'm thinking of  
  
[Chorus:]  
I can't catch a single breath baby,  
Help me now, help me now  
Hurry up it's killing me the way I need your mouth to mouth, mouth to mouth  
I say you make me feel alive  
I say you bring me back to life  
I can't catch a single breath baby,  
Lay me down, mouth to mouth  
  
[Break]  
  
[Chorus:]  
I can't catch a single breath baby,  
Help me now, help me now  
Hurry up it's killing me the way I need your mouth to mouth, mouth to mouth  
I say you make me feel alive  
I say you bring me back to life  
I can't catch a single breath baby,  
Lay me down, mouth to mouth

"
Extreme,/e/extreme/strutter_20807783.html,Strutter,"I know a thing or two about her  
I know she'll only make you cry  
She'll let you walk the street beside her  
But when she wants she'll pass you by  
  
Everybody says she's lookin' good  
And the lady knows it's understood  
Strutter  
  
She wears her satins like a lady  
She gets her way just like a child  
You take her home and she saysm ""Maybe, baby""  
She takes you down and drives you wild  
  
Everybody says she's lookin' good  
And the lady knows it's understood  
Strutter  
  
I know a thing or two about her  
I know she'll only make you cry  
She'll let you walk the street beside her  
But when she wants, she'll pass you by  
  
Everybody says she's lookin' good  
And the lady knows it's understood  
Strutter  
Strutter  
Strutter

"
Fiona Apple,/f/fiona+apple/window_10116241.html,Window,"I was staring out the window  
The whole time he was talking to me  
It was a filthy pane of glass  
I couldn't get a clear view  
  
As he went on and on  
It wasn't the outside world I could see  
Just the filthy pane that I was looking through  
  
So I had to break the window  
It just had to be  
Better that I break the window  
Than him or her or me  
  
I was never focused on just one thing  
My eyes got fixed when my mind got soft  
It may looked like I'm concentrated on a very clear view  
  
But I'm as good as asleep  
I bet you didn't know  
It takes a lot of it away if you do  
  
So I had to break the window  
It just had to be  
Better that I break the window  
Than him or her or me  
  
So I had to break the window  
It just had to be  
Better that I break the window  
Than him or her or me  
  
Because the fact in fact  
Whatever's in front of me is covering my view  
So I can't see what I'm seeing in fact  
I only see what I'm looking through  
  
I had to break the window  
It just had to be it was in my way  
Better that I break the window  
Then forget what I had to say  
  
So again I've done the right thing  
I was never worried about that  
The answer's always been in clear view  
But even when the window's clean  
I still can't see for the fact  
That when it's clean it's so clear  
I can't tell what I'm looking through  
  
So I had to break the window  
It just had to be  
Better that I break the window  
Than him or her or me  
  
I had to break the window  
It just had to be it was in my way  
Better that I break the window  
Then forget what I had to say  
  
I had to break the window  
It was in my way  
Better that I break a window  
Then forget what I had to say  
  
Or miss what I should see  
Or breaking him or her or me

"
Fleetwood Mac,/f/fleetwood+mac/although+the+sun+is+shining_20054432.html,Although The Sun Is Shining,"Although the sun is shining  
High above  
There's one thing on my mind  
You my love  
  
I see a weeping willow  
In the park  
Like this there's sadness growing  
In my heart  
  
When we're together  
We will never part  
And if you leave me  
It'll break, it'll break my heart  
  
When we're together  
We will never part  
And if you leave me  
It'll break, it'll break my heart  
  
Although the sun is shining  
High above  
There's one thing on my mind  
You my love

"
Fleetwood Mac,/f/fleetwood+mac/behind+the+mask_20054158.html,Behind The Mask,"Don't you come too close to me  
You're dangerous, can't you see  
You can make the darkness mean more  
  
Then it ever did  
Ever did before  
It's a devil's disguise  
  
Angel in black  
And I recognize the face behind the mask  
It's a devil's disguise  
Angel in black  
  
I don't know if I want you back  
You're the cool nights of the desert  
And the hot kisses of the sun  
Why is it that I don't believe you  
When you say I'm the only one  
I know I'm the lonely one  
It's a devil's disguise  
  
Angel in black  
And I recognize the shadows from your past  
It's a devil's disguise  
Angel in black  
  
Don't you know it'll never last  
The face behind the mask  
There will never be a second chance for you  
Oh No  
Not for you  
It's a devil's disguise  
  
Angel in black  
And I recognize the face behind the mask  
It's a devil's disguise  
Angel in black  
  
Don't you know it'll never last  
The face behind the mask  
It's a devil's disguise  
  
Angel in black  
And I recognize the shadows from your past  
It's a devil's disguise  
Angel in black  
  
I don't know if I want you back  
I don't know if I want you back  
Don't you know it'll never last  
The face behind the mask

"
Fleetwood Mac,/f/fleetwood+mac/jewel+eyed+judy_20054269.html,Jewel Eyed Judy,"Moonshine time  
Thoughts of you  
Spinning round  
As thoughts do  
  
I just wondered if  
Your eyes still shine  
As they did  
When you were mine  
  
I can see  
In a dream  
Thoughts so clear  
And jewels that gleam  
  
Would your eyes  
Still sparkle then  
If we were, once again  
  
Jewel eyed Judy please come home  
Jewel eyed Judy don't leave me alone  
Jewel eyed Judy please come home  
Jewel eyed Judy don't leave me alone  
  
Lovely Judy  
Can you see  
Where it is  
You're meant to be  
  
Where you lay  
Your head tonight  
May the stars  
Find your light  
  
So am I  
Sitting here  
Moonlight glistens  
On my tears  
  
Is this all  
That we could find  
Chains of memories  
Left behind  
  
Jewel eyed Judy please come home  
Jewel eyed Judy don't leave me alone  
Jewel eyed Judy please come home  
Jewel eyed Judy don't leave me alone

"
Flo-Rida,/f/flo+rida/dont+know+how+to+act_20838134.html,Don't Know How To Act,"Bounce, bounce, bounce, bounce  
Flo Rida!  
  
I'm in the club  
Kush got it burnin' up  
I'm poppin' bottles n I'm fuckin' up the furnituh  
I'm in the club  
Dj gon' turn it up  
Got a flock of models n we fuckin up the furnituh  
  
All my niggas gettin' money  
(Don't know how to act)(x3)  
30 dudes n we stuntin'  
(Don't know how to act)(x3)  
Got a whole lotta hoes  
(Don't know how to act)(x3)  
Yea my pockets all swoll  
(Don't know how to act)(x3)  
  
Pop in my pumps  
Pop in that guns

"
Foo Fighters,/f/foo+fighters/band+on+the+run_21057136.html,Band On The Run,"Shout, shout, let it all out  
These are the things I can do without  
Come on  
I'm talking to you, come on  
  
Shout, shout, let it all out  
These are the things I can do without  
Come on  
I'm talking to you, come on  
  
In violent times  
You shouldn't have to sell your soul  
In black and white  
They really really ought to know  
Those one-track minds  
That took you for a working boy  
Kiss them goodbye  
You shouldn't have to jump for joy  
You shouldn't have to  
  
Shout (jump for) shout (joy), let it all out  
These are the things I can do without  
Come on  
I'm talking to you, come on  
  
They gave you life  
And in return you gave them hell  
As cold as ice  
I hope we live to tell the tale  
I hope we live to  
  
Shout (tell the) shout (tale), let it all out  
These are the things I can do without  
Come on  
I'm talking to you, come on  
  
Shout, shout, let it all out  
These are the things I can do without  
Come on  
I'm talking to you, come on  
  
Shout, shout, let it all out (let it all out...)  
These are the things I can do without  
Come on  
I'm talking to you, so come on  
  
And when you've taken down your guard  
If I could change your mind  
I'd really love to break your heart  
I'd really love to break  
  
Shout (break your), shout (heart), let it all out  
These are the things I can do without (I'd really love to break your heart)  
Come on  
I'm talking to you, come on  
  
Shout, shout, let it all out  
These are the things I can do without  
Come on  
I'm talking to you, so come on

"
Frank Zappa,/f/frank+zappa/charlies+enormous+mouth_20057035.html,Charlie's Enormous Mouth,"Charlie's enormous mouth, well, it's alright  
The girl got a very large mouth but it's alright  
Her teeth look ok, she must be brushin' 'em quite a bit  
'Course her mouth is extra large and we can only assume as to how she's been
usin' it  
Charlie's enormous mouth, well, it's alright  
The girl got a very large mouth but it's alright  
She got lips all around the hole where she puts her food in, they call it ""The
mouth""  
They call it ""The mouth""  
They call it ""The mouth""  
Which is as good a place as any for a tongue to include in, that's why they
call it ""The mouth""  
They call it ""The mouth""  
They call it ""The mouth""  
(Kinda young, kinda wow)  
Charlie's enormous nose, well, it's all white  
The girl got a very large nose but it's all white  
It once was ok but she been blowin' it quite a bit  
'Course her friends are extra large and we can only assume as to how she's
been choosin' it  
Charlie's enormous nose, well, it's all white  
The girl got a very large nose but it's all white  
She got stuff all around the hole where she puts her spoon in, they call it
""The nose""  
They call it ""The nose""  
They call it ""The nose""  
And when it finally rots away I guess you'd prob'ly drive a truck in, they
used to call it ""The nose""  
They called it ""The nose""  
They called it ""The nose""  
(Kinda young, kinda dead)  
Charlie's disgusting brain, well, it's all black  
The girl got a very dead brain, it won't come back  
She used to convey  
But then she took an extra hit  
'Course her friends are extra dumb  
And they were terribly excited while they watched her doin' it  
Charlie's disgusting brain, well it's all black  
The girl got a very dead brain, it won't come back  
She used to convey but then she took an extra hit  
'Cause her friends are extra dumb and they were totally exited while they
watched her doin' it  
Charlie's disgusting brain, well it's all black  
The girl got a very dead brain, it won't come back  
She got dirt all around the hole where they dumped her box in, they call it
""The grave""  
They call it ""The grave""  
They call it ""The grave""  
Which is as good a place as any for a chump to repose in, that's why they call
it ""The grave""  
They call it ""The grave""  
They call it ""The grave""

"
